iter	Passed	Remaining
0	1	144
1	2	128
2	3	119
3	4	110
4	5	108
5	6	106
6	8	106
7	9	104
8	10	103
9	11	102
10	12	100
11	13	99
12	14	97
13	15	96
14	16	95
15	18	94
16	19	93
17	20	92
18	21	91
19	22	89
20	23	88
21	24	87
22	25	86
23	26	84
24	27	83
25	28	82
26	30	81
27	31	80
28	32	79
29	33	77
30	34	76
31	35	75
32	36	74
33	37	73
34	39	72
35	40	71
36	41	70
37	42	69
38	43	68
39	44	66
40	45	65
41	46	63
42	47	62
43	48	61
44	49	60
45	50	59
46	51	58
47	52	57
48	53	56
49	54	54
50	56	53
51	57	52
52	58	51
53	59	50
54	60	49
55	61	48
56	62	47
57	63	46
58	64	45
59	65	43
60	67	42
61	68	41
62	69	40
63	70	39
64	71	38
65	73	37
66	74	36
67	75	35
68	76	34
69	77	33
70	78	32
71	80	31
72	81	30
73	82	28
74	83	27
75	84	26
76	85	25
77	86	24
78	88	23
79	89	22
80	90	21
81	91	20
82	92	19
83	94	17
84	95	16
85	96	15
86	97	14
87	98	13
88	99	12
89	101	11
90	102	10
91	103	8
92	104	7
93	105	6
94	106	5
95	107	4
96	109	3
97	110	2
98	111	1
99	113	0
