iter	Passed	Remaining
0	1	1313
1	2	1184
2	3	1114
3	4	1086
4	5	1067
5	6	1049
6	7	1050
7	8	1052
8	9	1051
9	10	1040
10	11	1037
11	12	1031
12	13	1057
13	15	1074
14	16	1074
15	17	1067
16	18	1062
17	19	1059
18	20	1056
19	21	1054
20	22	1051
21	23	1049
22	24	1048
23	25	1041
24	26	1037
25	27	1031
26	28	1036
27	29	1037
28	30	1037
29	31	1030
30	33	1034
31	34	1031
32	35	1030
33	36	1026
34	37	1024
35	38	1020
36	39	1019
37	40	1018
38	41	1016
39	42	1014
40	43	1014
41	44	1014
42	45	1014
43	46	1013
44	47	1011
45	48	1010
46	49	1009
47	50	1005
48	51	1001
49	52	998
50	53	994
51	54	1002
52	55	998
53	56	994
54	57	990
55	58	991
56	59	987
57	60	983
58	61	978
59	62	974
60	63	970
61	63	966
62	64	962
63	65	960
64	66	955
65	67	952
66	68	955
67	69	954
68	70	954
69	71	952
70	72	953
71	74	959
72	75	960
73	76	963
74	77	961
75	78	959
76	79	956
77	80	954
78	81	951
79	82	948
80	83	945
81	84	941
82	84	935
83	85	933
84	86	930
85	87	928
86	88	931
87	89	931
88	90	929
89	91	926
90	92	925
91	93	923
92	94	922
93	95	919
94	96	917
95	97	915
96	98	912
97	98	910
98	99	908
99	100	906
100	101	904
101	102	905
102	104	906
103	105	904
104	106	903
105	106	902
106	107	900
107	108	898
108	109	896
109	110	894
110	111	892
111	112	890
112	113	888
113	114	886
114	114	884
115	115	882
116	116	879
117	117	880
118	118	879
119	119	877
120	121	879
121	121	876
122	122	874
123	123	872
124	124	871
125	125	869
126	126	866
127	127	865
128	127	863
129	128	861
130	129	859
131	130	858
132	131	856
133	132	856
134	133	855
135	134	853
136	135	852
137	136	851
138	137	849
139	138	848
140	139	846
141	139	844
142	140	842
143	141	841
144	142	840
145	143	838
146	144	837
147	145	835
148	146	835
149	147	836
150	148	836
151	149	835
152	150	835
153	151	834
154	152	832
155	153	831
156	154	829
157	155	827
158	156	826
159	157	824
160	157	821
161	158	820
162	159	819
163	160	817
164	161	817
165	162	817
166	163	816
167	164	815
168	165	815
169	166	814
170	167	813
171	168	811
172	169	810
173	170	808
174	171	807
175	172	806
176	173	805
177	174	803
178	174	802
179	176	801
180	177	801
181	178	800
182	178	798
183	180	798
184	180	797
185	181	795
186	182	794
187	183	792
188	184	791
189	185	790
190	186	788
191	187	787
192	188	786
193	188	784
194	189	783
195	190	782
196	191	781
197	192	780
198	193	780
199	194	778
200	195	777
201	196	776
202	197	774
203	198	774
204	199	773
205	200	772
206	201	771
207	202	770
208	203	768
209	203	767
210	204	766
211	206	766
212	207	766
213	208	764
214	209	763
215	210	762
216	211	761
217	212	760
218	212	759
219	213	758
220	214	756
221	215	755
222	216	754
223	217	752
224	218	751
225	219	750
226	220	750
227	221	750
228	222	749
229	223	749
230	225	749
231	226	748
232	226	747
233	228	746
234	228	745
235	229	744
236	230	743
237	231	741
238	232	740
239	233	739
240	234	738
241	235	738
242	237	738
243	238	738
244	239	738
245	240	737
246	241	736
247	242	735
248	243	734
249	244	732
250	245	732
251	246	731
252	247	729
253	248	728
254	249	727
255	250	726
256	251	728
257	253	729
258	254	728
259	255	727
260	256	726
261	257	725
262	258	725
263	259	724
264	260	722
265	261	721
266	262	721
267	263	719
268	277	755
269	278	753
270	279	752
271	280	751
272	282	752
273	283	752
274	284	751
275	286	750
276	287	749
277	287	747
278	288	746
279	289	745
280	290	743
281	291	742
282	292	741
283	293	740
284	294	739
285	296	739
286	297	739
287	298	738
288	299	737
289	300	736
290	301	735
291	302	733
292	303	732
293	304	730
294	305	729
295	306	728
296	307	727
297	308	727
298	309	726
299	311	727
300	314	729
301	315	728
302	316	727
303	317	726
304	318	725
305	319	724
306	320	723
307	321	721
308	322	720
309	322	718
310	323	717
311	324	716
312	326	716
313	327	716
314	329	715
315	330	714
316	331	713
317	332	712
318	333	711
319	334	709
320	334	708
321	335	707
322	336	706
323	337	704
324	338	703
325	339	702
326	341	703
327	343	702
328	344	702
329	345	701
330	346	700
331	347	699
332	348	697
333	349	696
334	350	695
335	351	693
336	352	692
337	352	691
338	353	689
339	354	688
340	356	688
341	357	687
342	358	686
343	359	685
344	360	684
345	361	683
346	362	682
347	363	680
348	364	679
349	364	677
350	365	676
351	366	675
352	367	673
353	368	672
354	369	671
355	371	671
356	372	670
357	373	669
358	374	667
359	374	666
360	375	665
361	376	664
362	377	662
363	378	661
364	379	660
365	380	659
366	381	657
367	382	656
368	383	655
369	384	654
370	385	653
371	387	653
372	388	652
373	389	651
374	390	650
375	391	649
376	392	647
377	392	646
378	393	645
379	394	643
380	395	642
381	396	641
382	397	640
383	398	639
384	400	639
385	402	639
386	403	638
387	404	637
388	405	636
389	406	635
390	407	634
391	407	632
392	408	631
393	409	630
394	410	629
395	411	627
396	412	626
397	413	625
398	415	625
399	416	624
400	417	623
401	418	622
402	419	621
403	420	620
404	421	619
405	422	618
406	423	616
407	424	615
408	425	614
409	426	613
410	427	612
411	428	610
412	429	609
413	430	609
414	431	608
415	432	607
416	433	606
417	434	605
418	435	604
419	436	602
420	437	601
421	438	600
422	439	599
423	440	597
424	441	596
425	442	595
426	443	594
427	445	595
428	446	594
429	447	593
430	448	592
431	449	591
432	450	589
433	451	588
434	452	587
435	453	586
436	454	585
437	455	584
438	456	582
439	457	581
440	458	580
441	459	580
442	460	579
443	462	578
444	463	577
445	464	576
446	464	575
447	465	574
448	466	572
449	467	571
450	468	570
451	469	569
452	470	567
453	471	566
454	472	565
455	473	565
456	475	564
457	476	563
458	477	562
459	478	561
460	479	560
461	480	559
462	481	558
463	482	556
464	483	555
465	483	554
466	484	553
467	485	552
468	486	551
469	487	550
470	489	549
471	490	548
472	491	547
473	492	546
474	492	544
475	493	543
476	494	542
477	495	541
478	496	540
479	497	539
480	498	537
481	499	536
482	500	535
483	501	534
484	502	533
485	504	533
486	505	532
487	506	531
488	507	530
489	508	529
490	509	528
491	510	526
492	511	525
493	512	524
494	513	523
495	514	522
496	515	521
497	516	520
498	517	519
499	519	519
500	520	518
501	521	517
502	522	516
503	523	514
504	524	513
505	525	512
506	526	511
507	527	510
508	528	509
509	528	508
510	529	506
511	530	505
512	531	504
513	533	504
514	534	502
515	535	501
516	536	500
517	537	499
518	538	498
519	539	497
520	539	496
521	540	495
522	541	494
523	542	492
524	543	491
525	544	490
526	545	489
527	546	488
528	547	487
529	548	486
530	549	485
531	550	484
532	551	483
533	552	482
534	553	480
535	554	479
536	555	478
537	556	477
538	557	476
539	557	475
540	558	474
541	559	473
542	560	472
543	561	470
544	562	469
545	563	468
546	564	467
547	565	466
548	566	465
549	567	464
550	568	463
551	569	461
552	570	460
553	570	459
554	571	458
